name,slug,description,address_line1,address_line2,city,postcode,latitude,longitude,phone,website,email,founded_year,facebook,price_range,is_active,mon_hours,tue_hours,wed_hours,thu_hours,fri_hours,sat_hours,sun_hours,feat_eat_in,feat_takeaway,feat_card_payments,feat_jellied_eels,feat_vegetarian,photo_url_1,photo_url_2,photo_url_3,notes
Champs - Poole,champs-poole,"Champs Traditional Pie and Mash was opened in early 2025 by Warren Roberts and Megan Hogarth, who moved from London to Poole and realized the area was missing a ""proper"" pie shop.
Pies sourced from Manzes , London and cooked on site along with mash and liquor made fresh on premises.",4 High Street,,Poole,BH15 1BW,50.712493,-1.988965,07771 642394,,,2025,https://www.facebook.com/profile.php?id=61573916992539,,,CLOSED,11:00 – 17:00,11:00 – 17:00,11:00 – 17:00,11:00 – 17:00,11:00 – 17:00,11:00 – 15:00,,,,,,,,,
Chestnut Pie & Mash - South Ockenden,chestnut-pie-mash-south-ockenden,"Chestnut Pie & Mash is a relative new addition to the local food scene, located within a garden centre. Pies supplied by Maureens.",Chestnut Farm Garden Centre,,South Ockendon,RM15 6DT,51.510743,0.293623,07950 378042,,,,,,,09:00 – 16:00,09:00 – 16:00,09:00 – 16:00,09:00 – 16:00,09:00 – 16:00,09:00 – 16:00,10:00 – 15:30,,,,,,,,,
Cockneys - Croydon,cockneys-croydon,"Cockneys in Croydon is owned and run by Max who has been working in the Pie and Mash business since the age of 14.
It has been serving up traditional fayre to the people of Croyon everyday for over 35 years.",51 Frith Road,,Croydon,CR0 1TB,51.374031,-0.102153,020 8680 4512,,info@cockneysofcroydon.com,,https://www.facebook.com/cockneysofcroydon,,,CLOSED,10:00 - 16:00,10:00 - 16:00,10:00 - 16:00,10:00 - 16:00,10:00 - 16:00,CLOSED,,,,,,,,,
Cockneys - Portobello Road,cockneys-portobello-road,A family run business of over 37 years run by Ruth and her son Bill. They prepare and freshly bake traditonal Pie and Mash on their premises.,314 Portobello Road,, London,W10 5RU,51.521484,-0.210194,020 8960 9409,,,,https://www.facebook.com/cockneyspiemashW10,,,CLOSED,11:30 - 17:00,11:30 - 17:00,11:30 - 17:00,11:30 - 17:00,11:30 - 17:00,CLOSED,,,,,,,,,
Covs - Clacton,covs-clacton,"Covs in Claction is run by the passionate Matthew and Lisa.  Pies, mash and liquour are prepared daily.",24A Rosemary Road,,Clacton-on-Sea,CO15 1NZ,51.789398,1.155788,01255 420142,https://the-pie-mash-shop.edan.io,,,https://www.facebook.com/covspieandmash/,,,CLOSED,CLOSED,11:30 - 26:30,11:30 - 26:30,11:30 - 26:30,11:30 - 26:30,11:30 - 26:30,,,,,,,,,
Eastenders - Chrisp Street Market,eastenders-chrisp-street-market,"Run with passion and dedication by Brian and his son David. They serve fresh pie, mash and liquour in the heart of the East End.",171 East India Dock Road,,London,E14 0EA,51.511396,-0.013682,020 7515 4553,https://www.eastenderspieandmash.com,brian@eastenderspieandmash.com,1976,https://www.facebook.com/eastenderspieandmash,,,10:00 - 17:00,10:00 - 17:00,10:00 - 17:00,10:00 - 17:00,10:00 - 17:00,10:00 - 17:00,CLOSED,,,,,,,,,
F Cooke - Bishops Stortford,f-cooke-bishops-stortford,"F Cooke's is a family name etched firmly in the history of Pie and Mash. The owner, Fred Cooke, is a 5th generaion purveyor of Pie and Mash, now to the local and vistors to hes shop in Bishops Stortford.",6 South Street,,Bishop's Stortford,CM23 3AT,51.869178,0.160086,07802 793433,https://gogetters.co.uk/place/f-cooke-pie-and-mash-takeaway-delivery-bishops-stortford,,2021,https://www.facebook.com/fcookeofbishopsstortford,,,CLOSED,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,,,,,,,,,
F Cooke - Hoxton,f-cooke-hoxton,,150 Hoxton Street,,London,N1 6SH,51.531771,-0.079984,020 7729 7718,,,,,,,,,,,,,,,,,,,,,,
Flo's Pie & Mash - Bexley,flos-pie-mash-bexley,,16 Wellington Parade,Sidcup,Bexley,DA15 9NB,51.450589,0.104662,020 4619 2515,,,,,,,,,,,,,,,,,,,,,,
Flo's Pie & Mash - Folkstone,flos-pie-mash-folkstone,,25 Guildhall Street,,Folkestone,CT20 1EB,51.080502,1.179262,01227 851279,,,,,,,,,,,,,,,,,,,,,,
Flo's Pie & Mash - Crayford,flos-pie-mash-crayford,,8 Princesses Parade,Waterside,Dartford,DA1 4JD,51.45263,0.179011,01322 403017,https://flos-pie-mash.edan.io,,,,,,,,,,,,,,,,,,,,,
G Kelly's - Roman Road,g-kellys-roman road,,"526 Roman Rd, Old Ford",,London,E3 5ES,51.532709,-0.030272,020 8980 3165,https://www.gkelly.london,,,,,,,,,,,,,,,,,,,,,
Goddards - Greenwich,goddards-greenwich,,22 King William Walk,,London,SE10 9HU,51.481798,-0.008791,020 8305 9612,https://www.goddardsatgreenwich.co.uk,info@goddardsatgreenwich.co.uk,,,,,,,,,,,,,,,,,,,,
Golden Pie - Clapham,golden-pie-clapham,,188 Lavender Hill,,London,SW11 5TQ,51.464495,-0.162943,020 7924 6333,,,,,,,,,,,,,,,,,,,,,,
Harry's - Sittingbourne,harrys-sittingbourne,,25 The Forum,,Sittingbourne,ME10 3DL,51.340697,0.735587,,,,,,,,,,,,,,,,,,,,,,,
Heath's - Dagenham,heaths-dagenham,,696 Becontree Avenue,,Dagenham,RM8 3HD,51.560016,0.146789,020 8592 1091,,,,,,,,,,,,,,,,,,,,,,
Hughes's - Ruislip,hughess-ruislip,,280 West End Road,,Ruislip, HA4 6LS,51.562622,-0.413913,01895 638978,,hughespieandmash@gmail.com,,,,,,,,,,,,,,,,,,,,
Lawrence's - Pinner,lawrences-pinner,,2 Old Barn Shops,Blackhorse Parade High Road,Pinner,HA5 2EN,51.584713,-0.406287,01895 470609,,,,,,,,,,,,,,,,,,,,,,
Lovedays - Clacton,lovedays-clacton,,17 Pallister Road,,Clacton-on-Sea,CO15 1PQ,51.788557,1.153975,,,,,,,,,,,,,,,,,,,,,,,
Lucy's - Margate,lucys-margate,,141 Canterbury Road,Westbrook,Margate,CT9 5BD,51.383917,1.365953,07376 887377,,,,,,,,,,,,,,,,,,,,,,
M Manze - Peckham,m-manze-peckham,,105 Peckham High Street,,London,SE15 5RS,51.47381,-0.069359,020 7277 6181,https://www.manze.co.uk,,,,,,,,,,,,,,,,,,,,,
M Manze - Sutton,m-manze-sutton,,226 High Street,,Sutton,SM1 1NT,51.366853,-0.194306,020 8286 8787,https://www.manze.co.uk,,,,,,,,,,,,,,,,,,,,,
M Manze - Tower Bridge Road,m-manze-tower bridge road,One of the oldest pie and mash shops in London serving traditional pie mash and liquor since 1902.,87 Tower Bridge Road,,London,SE1 4TW,51.4985,-0.0803,+44 20 7407 2985,https://www.manze.co.uk,,1902,,1,TRUE,11:00-14:00,11:00-14:00,11:00-14:00,11:00-14:00,11:00-14:00,10:30-14:30,CLOSED,TRUE,TRUE,FALSE,TRUE,FALSE,,,,Famous original Victorian interior.
Manze - Hoddesdon,manze-hoddesdon,,9 Fawkon Walk,,Hoddesdon,EN11 9EA,51.766687,-0.010437,01992 446962,,,,,,,,,,,,,,,,,,,,,,
Manze's - Great Dunmow,manzes-great dunmow,,Chelmsford Raod,Great Dunmow,Dunmow,CM6 1HB,51.868407,0.366091,07754 070381,,,,,,,,,,,,,,,,,,,,,,
Manze - Braintree,manze-braintree,,72b High Street,,Braintree,CM7 1JP,51.878184,0.550233,01376 619285,https://www.manze.co.uk,,,,,,,,,,,,,,,,,,,,,
Maureen's - Chrisp Street Market,maureens-chrisp street market,,6 Market Square,,London,E14 6AH,51.513191,-0.015103,07768 628052,https://maureenspieandmash.co.uk,maureenspiemash@gmail.com,,,,,,,,,,,,,,,,,,,,
Millers - Belvedere,millers-belvedere,,8 Albert Road,,Belvedere,DA17 5LJ,51.48169,0.144175,07834 586370,,,,,,,,,,,,,,,,,,,,,,
Motties - Swanley,motties-swanley,,34 Swanley Centre,,Swanley,BR8 7TL,51.396322,0.173818,01322 667333,,,,,,,,,,,,,,,,,,,,,,
Noted - Leytonstone,noted-leytonstone,,481a High Road,Leytonstone,London,E11 4JU,51.55813,0.006474,020 8539 2499,https://www.notedeelandpiehouse.co.uk,,,,,,,,,,,,,,,,,,,,,
Peckham Pie & Mash - Colchester,peckham-pie-mash-colchester,,82 Culver Street East,,Colchester,CO1 1LF,51.889304,0.901298,,,,,,,,,,,,,,,,,,,,,,,
Pie & Mash - Welling,pie-mash-welling,,32 Upper Wickham Lane,,Welling,DA16 3HF,51.463578,0.108024,020 8303 5122,https://www.piemashwelling.co.uk,,,,,,,,,,,,,,,,,,,,,
Pollys - Witham,pollys-witham,,16 Newlands Precinct,,Witham,CM8 2AP,51.800064,0.639261,01376 618707,http://pollyspieandmash.co.uk,,,,,,,,,,,,,,,,,,,,,
Porsha's - Tadworth,porshas-tadworth,,Box Hill,,Tadworth,KT20 7PS,51.254057,-0.278494,07398 097941,https://www.porshaspieandmash.co.uk,,,,,,,,,,,,,,,,,,,,,
Manze's - sadly closed - Deptford,manzes-sadly closed-deptford,,204 Deptford High Street,,London,SE8 3PR,51.480688,-0.026093,,,,,,,,,,,,,,,,,,,,,,,
Raymonds - Bexley,raymonds-bexley,,10 Passey Place,,London,SE9 5DQ,51.449946,0.05374,020 8850 9062,,,,,,,,,,,,,,,,,,,,,,
Robins - Romford,robins-romford,,40 South Street,,Romford,RM1 1UP,51.576873,0.181212,01708 752552,https://www.robinspienmash.com,,,,,,,,,,,,,,,,,,,,,
Robins - Wanstead,robins-wanstead,,14 High Street,,London,E11 2AJ,51.578616,0.025229,020 8989 1988,https://www.robinspienmash.com,,,,,,,,,,,,,,,,,,,,,
Robins - Southend,robins-southend,,15 Clarence Street,,Southend-on-Sea,SS1 1BH,51.535693,0.712799,01702 436396,https://www.robinspienmash.com,,,,,,,,,,,,,,,,,,,,,
Robins - Chelmsford,robins-chelmsford,,53 High Street,,Chelmsford,CM1 1DH,51.732278,0.4745,01245 491274,https://www.robinspienmash.com,,,,,,,,,,,,,,,,,,,,,
Robins - Chingford,robins-chingford,,50 Station Road,,London,E4 7BE,51.631549,0.004104,020 8524 1824,https://www.robinspienmash.com,,,,,,,,,,,,,,,,,,,,,
Robins - Basildon,robins-basildon,,"21a, Town Square",,Basildon,SS14 1BA,51.570484,0.458,01268 271713,https://www.robinspienmash.com,,,,,,,,,,,,,,,,,,,,,
S&R Kellys - Bethnal Green,s-r-kellys-bethnal green,,284 Bethnal Grn Road,,London,E2 0AG,51.526259,-0.064704,020 8980 3165,https://www.gkelly.london,,,,,,,,,,,,,,,,,,,,,
Scotts - Orpington,scotts-orpington,,"73, The Walnuts Centre",,Orpington,BR6 0TW,51.376973,0.101699,01689 876744,,,,,,,,,,,,,,,,,,,,,,
Scotts - Orpington,scotts-orpington,,117 Cotmandene Cres,,Orpington,BR5 2RB,51.40367,0.106302,020 8325 3634,,,,,,,,,,,,,,,,,,,,,,
Sie's - Gravesend,sies-gravesend,,Kempthorne Street,St Georges Centre,Gravesend,DA11 0TA,51.443058,0.366991,01474 364867,,,,,,,,,,,,,,,,,,,,,,
Stacey's - Basildon,staceys-basildon,,221 Timberlog Lane,,Basildon,SS14 1PB,51.570887,0.48495,01268 555857,,,,,,,,,,,,,,,,,,,,,,
T&J Kelly - Loughton,t-j-kelly-loughton,,82 The Broadway,,Loughton,IG10 3ST,51.647508,0.083848,020 8980 3165,https://www.gkelly.london,,,,,,,,,,,,,,,,,,,,,
The Crafty Cockney - Canvey Island,the-crafty-cockney-canvey island,,103 High Street,,Canvey Island,SS8 7RF,51.522775,0.600616,,https://www.thecraftycockneypieandmash.com,,,,,,,,,,,,,,,,,,,,,
T's Pie & Mash - Ipswich,ts-pie-mash-ipswich,,45-47 Upper Orwell Street,,Ipswich,IP4 1HP,52.055816,1.159791,07962 525862,https://www.ts-pie-n-mash.co.uk,tony@ts-pie-n-mash.co.uk,,,,,,,,,,,,,,,,,,,,
The Old Cockney - Bromley,the-old-cockney-bromley,,44 Chatterton Road,,Bromley,BR2 9QE,51.391454,0.036357,07873 589552,,,,,,,,,,,,,,,,,,,,,,
The Pie Den - Bermondsey,the-pie-den-bermondsey,,Market Place,,London,SE16 3UQ,51.492731,-0.063935,07950 378042,,thepieden@gmail.com,,,,,,,,,,,,,,,,,,,,
Tonys - Waltham Abbey,tonys-waltham abbey,,10 Market Square,,Waltham Abbey,EN9 1DP,51.686531,-0.002235,01992 652798,,,,,,,,,,,,,,,,,,,,,,
Wallys - Maldon,wallys-maldon,,121 High Street,,Maldon,CM9 5BS,51.730263,0.68303,07727 296470,,,,,,,,,,,,,,,,,,,,,,
Whites - Walton on the Naze,whites-walton-on-the-naze,,95 High Street,,Walton on the Naze,CO14 8AA,51.849359,1.271749,01255 675612,https://www.whitespieandmash.co.uk,,,,,,,,,,,,,,,,,,,,,
Young's - Maldon,youngs-maldon,,136 High Street,,Maldon,CM9 5BX,51.729621,0.683992,01621 842859,https://www.maldonpieandmash.com,info@maldonpieandmash.com,,,,,,,,,,,,,,,,,,,,
